ObjectName,PosX,PosY,PosZ
Cube (20),0.448,0.330,-0.663
Cube (21),-1.060,0.330,-1.557
Cube (22),1.788,0.330,1.344
Cube (1),1.148,0.330,-1.116
Cube (19),0.766,0.330,-1.629
Cube (10),-0.410,0.330,-2.112
Cube (13),-0.806,0.330,0.399
Cube (4),-0.332,0.330,-0.285
Cube (0),-1.690,0.330,1.710
Cube (15),1.444,0.330,0.135
Cube (7),1.576,0.330,-0.573
Cube (14),0.206,0.330,1.098
Cube (3),0.130,0.330,-1.248
Cube (6),1.132,0.330,-2.088
Cube (16),1.114,0.330,1.788
Cube (11),0.046,0.330,2.100
Cube (17),-1.330,0.330,-0.795
Cube (8),-1.920,0.330,-0.003
Cube (2),1.280,0.330,0.618
Cube (12),-0.768,0.330,1.710
Cube (5),-0.710,0.330,-0.597
Cube (9),-1.742,0.330,1.173
Cube (18),-0.422,0.330,1.104
