ObjectName,PosX,PosY,PosZ
Cube (20),0.448,0.330,-0.459
Cube (21),-1.060,0.330,-1.557
Cube (22),0.734,0.330,0.549
Cube (1),-1.254,0.330,0.180
Cube (19),-0.104,0.330,-1.056
Cube (10),-0.410,0.330,-1.944
Cube (13),1.282,0.330,-1.431
Cube (4),-0.332,0.330,-0.267
Cube (0),-1.690,0.330,1.710
Cube (15),1.444,0.330,0.135
Cube (7),1.576,0.330,-0.573
Cube (14),2.184,0.330,-1.269
Cube (3),0.444,0.330,-1.545
Cube (6),-0.126,0.330,1.167
Cube (16),1.946,0.330,1.365
Cube (11),-2.116,0.330,-1.662
Cube (17),-1.792,0.330,-0.350
Cube (8),-0.736,0.330,0.681
Cube (2),-1.566,0.330,1.008
Cube (12),0.322,0.330,1.710
Cube (5),-1.136,0.330,-0.783
Cube (9),0.956,0.330,1.248
Cube (18),-0.052,0.330,0.474
