ObjectName,PosX,PosY,PosZ
Cube (20),-0.402,0.330,-0.663
Cube (21),-0.746,0.330,-1.557
Cube (22),1.510,0.330,-0.096
Cube (1),1.814,0.330,0.729
Cube (19),-1.542,0.330,-1.617
Cube (10),-0.188,0.330,-1.947
Cube (13),-0.806,0.330,0.897
Cube (4),1.350,0.330,-1.209
Cube (0),-1.690,0.330,1.710
Cube (15),1.130,0.330,0.984
Cube (7),-1.880,0.330,-1.146
Cube (14),0.206,0.330,1.098
Cube (3),0.352,0.330,-1.230
Cube (6),0.854,0.330,-0.498
Cube (16),1.114,0.330,1.788
Cube (11),0.046,0.330,2.100
Cube (17),-1.330,0.330,-0.795
Cube (8),-1.920,0.330,-0.003
Cube (2),-1.104,0.330,0.009
Cube (12),-0.768,0.330,1.710
Cube (5),0.380,0.330,0.255
Cube (9),-1.742,0.330,1.173
Cube (18),-0.348,0.330,0.069
